1554,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355,143,Timmins/Victor M. Power,,"{'1588': {94: 106}, '1540': {94: 106}, '1547': {94: 106}, '1555': {95: 96}}"
1555,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,144,Billy Bishop Toronto City Centre Airport,,"{'1554': {95: 96}, '1540': {95: 96}, '1772': {95: 96}, '1547': {95: 96}, '1633': {95: 96}, '1797': {95: 96}, '1727': {95: 96}, '1532': {95: 96}, '1475': {95: 96}, '1557': {95: 96}, '1685': {95: 96}, '1529': {95: 96}, '1535': {95: 96}}"
1557,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,146,Montreal / Pierre Elliott Trudeau International Airport,,"{'1589': {66: 64, 106: 79, 71: 63}, '1860': {66: 64}, '1691': {66: 65, 106: 79}, '1564': {66: 69, 106: 79}, '1555': {95: 96}, '1770': {66: 64, 71: 67}, '1780': {75: 80, 103: 80}, '1592': {92: 94}, '1806': {66: 100, 103: 91}, '1532': {92: 94, 71: 63}, '1561': {67: 95}, '1671': {75: 80, 103: 80}, '1748': {66: 64}, '1566': {92: 94}, '1562': {96: 79}, '1746': {66: 86, 106: 79}, '1565': {106: 79}, '1512': {66: 65, 95: 96}, '1491': {66: 65, 106: 78}, '1758': {66: 100, 103: 103}, '1579': {66: 101, 106: 79}, '1529': {66: 101}, '1670': {66: 101}, '1524': {67: 95}, '1675': {103: 67}, '1587': {66: 101}, '1743': {82: 102, 106: 102, 103: 103}}"
1558,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.2247009277,147,Repulse Bay Airport,,"{'1478': {96: 70}, '1591': {78: 70}, '1546': {78: 70}}"
1559,Hall Beach,Canada,YUX,CYUX,68.7761001587,-81.2425,148,Hall Beach Airport,,"{'1495': {96: 70}, '1500': {96: 70}}"
1560,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.0314025879,152,Qikiqtarjuaq Airport,,"{'1572': {96: 70, 79: 95}}"
1561,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,153,Val-d'Or Airport,,"{'1557': {67: 95}, '1519': {67: 95}}"
1562,Quujjuaq,Canada,YVP,CYVP,58.0960998535156,-68.4269027709961,154,Kuujjuaq Airport,,"{'1495': {96: 79}, '1557': {96: 79}}"
1563,Norman Wells,Canada,YVQ,CYVQ,65.2816009521484,-126.797996520996,155,Norman Wells Airport,,"{'1493': {96: 79, 79: 79}, '1590': {96: 79, 79: 79}}"
1564,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,156,Vancouver International Airport,,"{'1589': {66: 66, 106: 79}, '1860': {66: 101, 106: 79, 102: 64}, '1981': {66: 86, 106: 79}, '1819': {75: 64, 103: 64}, '1577': {66: 101}, '1568': {106: 79}, '1806': {106: 79, 75: 79, 102: 64}, '1979': {66: 86, 106: 79}, '1975': {106: 79}, '1490': {81: 94}, '1671': {75: 80, 103: 80}, '1830': {106: 79}, '1748': {73: 76, 66: 64, 75: 79, 106: 79}, '1976': {106: 79}, '1871': {106: 79}, '1729': {102: 65}, '1521': {106: 79}, '1746': {66: 64, 75: 79, 106: 79}, '1565': {66: 101, 106: 79}, '1569': {106: 96}, '1539': {106: 79}, '1491': {66: 101, 106: 79}, '1573': {106: 96}, '1579': {66: 101, 106: 79, 71: 67}, '1529': {66: 65}, '1557': {66: 66, 106: 79}, '1670': {102: 64}, '1584': {106: 96}, '1574': {106: 96}, '1685': {66: 64}, '1813': {75: 96}}"
